query_date,date_min,date_max,album_position,album_position_last_week,album_position_peak,album_artist,album_label,album_title,album_id,album_url,album_img_url,album_in_charts_weeks
2015-03-23,2015-03-23,2015-03-29,1,,1,Audio88 & Yassin,HEART WORK,Normaler Samt,hiphop-details-268654,https://www.offiziellecharts.de/hiphop-details-268654,/templates/gfktemplate/images/cover/268654_a.jpg,1
2015-03-23,2015-03-23,2015-03-29,2,,2,Bushido,Bushido,Carlo Cokxxx Nutten 3,hiphop-details-2000128,https://www.offiziellecharts.de/hiphop-details-2000128,/templates/gfktemplate/images/cover/2000128_a.jpg,1
2015-03-23,2015-03-23,2015-03-29,3,,3,Kendrick Lamar,Interscope,To Pimp A Butterfly,hiphop-details-270138,https://www.offiziellecharts.de/hiphop-details-270138,/templates/gfktemplate/images/cover/270138_a.jpg,1
2015-03-23,2015-03-23,2015-03-29,4,,4,Kontra K,Four Music,Aus dem Schatten ins Licht,hiphop-details-265451,https://www.offiziellecharts.de/hiphop-details-265451,/templates/gfktemplate/images/cover/265451_a.jpg,1
2015-03-23,2015-03-23,2015-03-29,5,,5,Cro,Chimperator Productions,Melodie,hiphop-details-244998,https://www.offiziellecharts.de/hiphop-details-244998,/templates/gfktemplate/images/cover/244998_a.jpg,1
2015-03-23,2015-03-23,2015-03-29,6,,6,Sudden,Trailerpark Recordings,Superkräfte,hiphop-details-268522,https://www.offiziellecharts.de/hiphop-details-268522,/templates/gfktemplate/images/cover/268522_a.jpg,1
2015-03-23,2015-03-23,2015-03-29,7,,7,Kid Ink,RCA International,Full Speed,hiphop-details-263701,https://www.offiziellecharts.de/hiphop-details-263701,/templates/gfktemplate/images/cover/263701_a.jpg,1
2015-03-23,2015-03-23,2015-03-29,8,,8,MC Rene & Carl Crinx,PERIPHERIQ,Renessance,hiphop-details-268576,https://www.offiziellecharts.de/hiphop-details-268576,/templates/gfktemplate/images/cover/268576_a.jpg,1
2015-03-23,2015-03-23,2015-03-29,9,,9,Kool Savas,Essah Entertainment,Märtyrer,hiphop-details-258771,https://www.offiziellecharts.de/hiphop-details-258771,/templates/gfktemplate/images/cover/258771_a.jpg,1
2015-03-23,2015-03-23,2015-03-29,10,,10,Trailerpark,Trailerpark Recordings,Crackstreet Boys 3,hiphop-details-262544,https://www.offiziellecharts.de/hiphop-details-262544,/templates/gfktemplate/images/cover/262544_a.jpg,1
2015-03-23,2015-03-23,2015-03-29,11,,11,Fler präsentiert Frank White,Maskulin,Keiner kommt klar mit mir,hiphop-details-2000129,https://www.offiziellecharts.de/hiphop-details-2000129,/templates/gfktemplate/images/cover/2000129_a.jpg,1
2015-03-23,2015-03-23,2015-03-29,12,,12,Cro,Chimperator Productions,Raop,hiphop-details-200472,https://www.offiziellecharts.de/hiphop-details-200472,/templates/gfktemplate/images/cover/200472_a.jpg,1
2015-03-23,2015-03-23,2015-03-29,13,,13,Kurdo,ALMAZ MUSI,Almaz,hiphop-details-265547,https://www.offiziellecharts.de/hiphop-details-265547,/templates/gfktemplate/images/cover/265547_a.jpg,1
2015-03-23,2015-03-23,2015-03-29,14,,14,Hanybal,Azzlackz,Weg von der Fahrbahn,hiphop-details-267228,https://www.offiziellecharts.de/hiphop-details-267228,/templates/gfktemplate/images/cover/267228_a.jpg,1
2015-03-23,2015-03-23,2015-03-29,15,,15,Shindy,Bushido,FVCKB!TCHE$GETMONE¥,hiphop-details-255200,https://www.offiziellecharts.de/hiphop-details-255200,/templates/gfktemplate/images/cover/255200_a.jpg,1
2015-03-23,2015-03-23,2015-03-29,16,,16,Kollegah,Selfmade Records,King,hiphop-details-244117,https://www.offiziellecharts.de/hiphop-details-244117,/templates/gfktemplate/images/cover/244117_a.jpg,1
2015-03-23,2015-03-23,2015-03-29,17,,17,Alligatoah,Trailerpark Recordings,Triebwerke,hiphop-details-221567,https://www.offiziellecharts.de/hiphop-details-221567,/templates/gfktemplate/images/cover/221567_a.jpg,1
2015-03-23,2015-03-23,2015-03-29,18,,18,Casper,Four Music,Hinterland,hiphop-details-222724,https://www.offiziellecharts.de/hiphop-details-222724,/templates/gfktemplate/images/cover/222724_a.jpg,1
2015-03-23,2015-03-23,2015-03-29,19,,19,Haftbefehl,Universal Domestic Urban,Russisch Roulette,hiphop-details-261336,https://www.offiziellecharts.de/hiphop-details-261336,/templates/gfktemplate/images/cover/261336_a.jpg,1
2015-03-23,2015-03-23,2015-03-29,20,,20,Eminem,Interscope,Curtain Call,hiphop-details-2000130,https://www.offiziellecharts.de/hiphop-details-2000130,/templates/gfktemplate/images/cover/2000130_a.jpg,1
2015-03-30,2015-03-30,2015-04-05,1,,1,Die Orsons,Universal Domestic Vertigo,What's Goes?,hiphop-details-268723,https://www.offiziellecharts.de/hiphop-details-268723,/templates/gfktemplate/images/cover/268723_a.jpg,1
2015-03-30,2015-03-30,2015-04-05,2,3.0,2,Kendrick Lamar,Interscope,To Pimp A Butterfly,hiphop-details-270138,https://www.offiziellecharts.de/hiphop-details-270138,/templates/gfktemplate/images/cover/270138_a.jpg,2
2015-03-30,2015-03-30,2015-04-05,3,2.0,2,Bushido,Bushido,Carlo Cokxxx Nutten 3,hiphop-details-2000128,https://www.offiziellecharts.de/hiphop-details-2000128,/templates/gfktemplate/images/cover/2000128_a.jpg,2
2015-03-30,2015-03-30,2015-04-05,4,4.0,4,Kontra K,Four Music,Aus dem Schatten ins Licht,hiphop-details-265451,https://www.offiziellecharts.de/hiphop-details-265451,/templates/gfktemplate/images/cover/265451_a.jpg,2
2015-03-30,2015-03-30,2015-04-05,5,,5,Blumio,JAPSENSOUL,Blumiologie,hiphop-details-271405,https://www.offiziellecharts.de/hiphop-details-271405,/templates/gfktemplate/images/cover/271405_a.jpg,1
2015-03-30,2015-03-30,2015-04-05,6,5.0,5,Cro,Chimperator Productions,Melodie,hiphop-details-244998,https://www.offiziellecharts.de/hiphop-details-244998,/templates/gfktemplate/images/cover/244998_a.jpg,2
2015-03-30,2015-03-30,2015-04-05,7,6.0,6,Sudden,Trailerpark Recordings,Superkräfte,hiphop-details-268522,https://www.offiziellecharts.de/hiphop-details-268522,/templates/gfktemplate/images/cover/268522_a.jpg,2
2015-03-30,2015-03-30,2015-04-05,8,,8,Action Bronson,Atlantic,Mr. Wonderful,hiphop-details-271223,https://www.offiziellecharts.de/hiphop-details-271223,/templates/gfktemplate/images/cover/271223_a.jpg,1
2015-03-30,2015-03-30,2015-04-05,9,9.0,9,Kool Savas,Essah Entertainment,Märtyrer,hiphop-details-258771,https://www.offiziellecharts.de/hiphop-details-258771,/templates/gfktemplate/images/cover/258771_a.jpg,2
2015-03-30,2015-03-30,2015-04-05,10,7.0,7,Kid Ink,RCA International,Full Speed,hiphop-details-263701,https://www.offiziellecharts.de/hiphop-details-263701,/templates/gfktemplate/images/cover/263701_a.jpg,2
2015-03-30,2015-03-30,2015-04-05,11,,11,Nicki Minaj,Republic Records,The Pinkprint,hiphop-details-262280,https://www.offiziellecharts.de/hiphop-details-262280,/templates/gfktemplate/images/cover/262280_a.jpg,1
2015-03-30,2015-03-30,2015-04-05,12,12.0,12,Cro,Chimperator Productions,Raop,hiphop-details-200472,https://www.offiziellecharts.de/hiphop-details-200472,/templates/gfktemplate/images/cover/200472_a.jpg,2
2015-03-30,2015-03-30,2015-04-05,13,10.0,10,Trailerpark,Trailerpark Recordings,Crackstreet Boys 3,hiphop-details-262544,https://www.offiziellecharts.de/hiphop-details-262544,/templates/gfktemplate/images/cover/262544_a.jpg,2
2015-03-30,2015-03-30,2015-04-05,14,1.0,1,Audio88 & Yassin,HEART WORK,Normaler Samt,hiphop-details-268654,https://www.offiziellecharts.de/hiphop-details-268654,/templates/gfktemplate/images/cover/268654_a.jpg,2
2015-03-30,2015-03-30,2015-04-05,15,16.0,15,Kollegah,Selfmade Records,King,hiphop-details-244117,https://www.offiziellecharts.de/hiphop-details-244117,/templates/gfktemplate/images/cover/244117_a.jpg,2
2015-03-30,2015-03-30,2015-04-05,16,15.0,15,Shindy,Bushido,FVCKB!TCHE$GETMONE¥,hiphop-details-255200,https://www.offiziellecharts.de/hiphop-details-255200,/templates/gfktemplate/images/cover/255200_a.jpg,2
2015-03-30,2015-03-30,2015-04-05,17,17.0,17,Alligatoah,Trailerpark Recordings,Triebwerke,hiphop-details-221567,https://www.offiziellecharts.de/hiphop-details-221567,/templates/gfktemplate/images/cover/221567_a.jpg,2
2015-03-30,2015-03-30,2015-04-05,18,11.0,11,Fler präsentiert Frank White,Maskulin,Keiner kommt klar mit mir,hiphop-details-2000129,https://www.offiziellecharts.de/hiphop-details-2000129,/templates/gfktemplate/images/cover/2000129_a.jpg,2
2015-03-30,2015-03-30,2015-04-05,19,19.0,19,Haftbefehl,Universal Domestic Urban,Russisch Roulette,hiphop-details-261336,https://www.offiziellecharts.de/hiphop-details-261336,/templates/gfktemplate/images/cover/261336_a.jpg,2
2015-03-30,2015-03-30,2015-04-05,20,18.0,18,Casper,Four Music,Hinterland,hiphop-details-222724,https://www.offiziellecharts.de/hiphop-details-222724,/templates/gfktemplate/images/cover/222724_a.jpg,2
2015-04-06,2015-04-06,2015-04-12,1,,1,Farid Bang,Banger Musik,Asphalt Massaka 3,hiphop-details-268909,https://www.offiziellecharts.de/hiphop-details-268909,/templates/gfktemplate/images/cover/268909_a.jpg,1
2015-04-06,2015-04-06,2015-04-12,2,,2,Olexesh,385IDEAL,Masta,hiphop-details-270057,https://www.offiziellecharts.de/hiphop-details-270057,/templates/gfktemplate/images/cover/270057_a.jpg,1
